Id,Category
000000,Boat
000001,Van
000002,Truck
000003,Van
000004,Bicycle
000005,Car
000006,Car
000007,Boat
000008,Tank
000009,Car
000010,Motorcycle
000011,Motorcycle
000012,Bicycle
000013,Bus
000014,Car
000015,Bus
000016,Tank
000017,Car
000018,Car
000019,Car
000020,Car
000021,Car
000022,Car
000023,Car
000024,Bicycle
000025,Cart
000026,Car
000027,Car
000028,Car
000029,Car
000030,Boat
000031,Car
000032,Bus
000033,Car
000034,Car
000035,Car
000036,Car
000037,Boat
000038,Van
000039,Motorcycle
000040,Boat
000041,Truck
000042,Helicopter
000043,Car
000044,Bicycle
000045,Car
000046,Bicycle
000047,Truck
000048,Boat
000049,Bicycle
000050,Bicycle
000051,Car
000052,Car
000053,Ambulance
000054,Car
000055,Boat
000056,Boat
000057,Helicopter
000058,Helicopter
000059,Van
000060,Car
000061,Car
000062,Bicycle
000063,Bus
000064,Bus
000065,Van
000066,Car
000067,Boat
000068,Boat
000069,Truck
000070,Bicycle
000071,Truck
000072,Boat
000073,Car
000074,Car
000075,Car
000076,Truck
000077,Boat
000078,Truck
000079,Boat
000080,Taxi
000081,Car
000082,Van
000083,Car
000084,Bus
000085,Van
000086,Boat
000087,Helicopter
000088,Boat
000089,Van
000090,Truck
000091,Truck
000092,Boat
000093,Truck
000094,Car
000095,Car
000096,Car
000097,Truck
000098,Car
000099,Helicopter
000100,Bicycle
000101,Car
000102,Car
000103,Truck
000104,Truck
000105,Boat
000106,Car
000107,Truck
000108,Motorcycle
000109,Car
000110,Car
000111,Motorcycle
000112,Car
000113,Car
000114,Truck
000115,Taxi
000116,Car
000117,Car
000118,Tank
000119,Car
000120,Car
000121,Helicopter
000122,Helicopter
000123,Boat
000124,Boat
000125,Car
000126,Car
000127,Car
000128,Boat
000129,Bus
000130,Bus
000131,Car
000132,Car
000133,Bicycle
000134,Car
000135,Van
000136,Van
000137,Motorcycle
000138,Car
000139,Motorcycle
000140,Boat
000141,Bicycle
000142,Motorcycle
000143,Car
000144,Car
000145,Truck
000146,Truck
000147,Motorcycle
000148,Truck
000149,Car
000150,Truck
000151,Motorcycle
000152,Car
000153,Caterpillar
000154,Car
000155,Car
000156,Boat
000157,Segway
000158,Car
000159,Van
000160,Car
000161,Truck
000162,Bus
000163,Bus
000164,Car
000165,Boat
000166,Car
000167,Car
000168,Boat
000169,Car
000170,Tank
000171,Truck
000172,Car
000173,Caterpillar
000174,Motorcycle
000175,Car
000176,Car
000177,Truck
000178,Car
000179,Car
000180,Van
000181,Helicopter
000182,Car
000183,Helicopter
